DATA_DATE,Org,MaxTemp,MinTemp,WindDir,Wind,Weather,Aqi,AqiInfo,AqiLevel
2022/1/1,雄安,6,-10,7,2,5,77,4,2
2022/1/2,雄安,2,-8,3,2,4.5,30,5,1
2022/1/3,雄安,5,-8,7,2,5,57,4,2
2022/1/4,雄安,4,-7,7,2,4,79,4,2
2022/1/5,雄安,4,-7,7,1,4.5,81,4,2
2022/1/6,雄安,6,-6,7,1,3,115,3,3
2022/1/7,雄安,5,-5,5,2,4.5,213,1,5
2022/1/8,雄安,7,-6,3,2,4,210,1,5
2022/1/9,雄安,2,-6,7,2,2.5,155,2,4
2022/1/10,雄安,4,-10,7,2,3.5,68,4,2
2022/1/11,雄安,2,-8,8,2,4.5,43,5,1
2022/1/12,雄安,1,-9,7,2,4.5,62,4,2
2022/1/13,雄安,4,-9,5,2,5,33,5,1
2022/1/14,雄安,3,-8,5,2,4.5,149,3,3
2022/1/15,雄安,5,-10,7,2,4.5,158,2,4
2022/1/16,雄安,1,-10,8,1,4.5,31,5,1
2022/1/17,雄安,4,-9,5,1,5,54,4,2
2022/1/18,雄安,4,-7,8,2,5,94,4,2
2022/1/19,雄安,-1,-6,1,3,2.5,96,4,2
2022/1/20,雄安,-1,-5,8,2,3.5,41,5,1
2022/1/21,雄安,0,-4,8,1,3,53,4,2
2022/1/22,雄安,-1,-5,7,2,2.5,89,4,2
2022/1/23,雄安,0,-4,7,2,2.5,148,3,3
2022/1/24,雄安,0,-6,5,2,3,149,3,3
2022/1/25,雄安,4,-4,3,2,4,145,3,3
2022/1/26,雄安,2,-7,7,2,2.5,119,3,3
2022/1/27,雄安,3,-7,7,2,4,66,4,2
2022/1/28,雄安,2,-8,1,1,3,76,4,2
2022/1/29,雄安,4,-8,5,1,4.5,129,3,3
2022/1/30,雄安,3,-6,5,2,2,216,1,5
2022/1/31,雄安,2,-10,6,3,5,74,4,2
2022/2/1,雄安,2,-10,5,2,5,35,5,1
2022/2/2,雄安,4,-10,5,1,5,56,4,2
2022/2/3,雄安,4,-10,7,2,4,59,4,2
2022/2/4,雄安,2,-10,7,2,5,28,5,1
2022/2/5,雄安,4,-9,5,2,5,41,5,1
2022/2/6,雄安,5,-9,3,2,4,53,4,2
2022/2/7,雄安,5,-9,7,1,4.5,55,4,2
2022/2/8,雄安,8,-9,2,1,5,67,4,2
2022/2/9,雄安,7,-9,5,1,4.5,98,4,2
2022/2/10,雄安,10,-6,5,2,4.5,112,3,3
2022/2/11,雄安,9,-4,1,2,2.5,104,3,3
2022/2/12,雄安,1,-7,7,2,2.5,82,4,2
2022/2/13,雄安,-3,-11,7,3,1.5,59,4,2
2022/2/14,雄安,-1,-14,7,2,3.5,44,5,1
2022/2/15,雄安,-1,-11,7,2,4.5,34,5,1
2022/2/16,雄安,-1,-10,7,2,4.5,37,5,1
2022/2/17,雄安,-1,-10,8,2,3.5,55,4,2
2022/2/18,雄安,1,-9,7,1,4,61,4,2
2022/2/19,雄安,1,-12,6,2,5,35,5,1
2022/2/20,雄安,4,-10,5,2,5,47,5,1
2022/2/21,雄安,3,-10,8,2,5,50,5,1
2022/2/22,雄安,3,-8,1,2,5,43,5,1
